date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:46:09	151692/151692	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jul%202024%2023:46:08%20GMT	https://x.com/en/tos	C:/My%20Web%20Sites/terms%20and%20service%20of%20chain%20connect/x.com/en/tos.html	(from )
16:46:10	578/578	---M-Z	200	added ('OK')	text/plain	date:Sat,%2013%20Jul%202024%2023:46:10%20UTC	https://x.com/robots.txt		(from )
16:46:14	54981/54981	---M--	200	added ('OK')	image/png	date:Wed,%2010%20Jul%202024%2020:13:17%20GMT	https://cdn.cms-twdigitalassets.com/content/dam/legal-twitter/sharing-card.png.twimg.768.png	C:/My%20Web%20Sites/terms%20and%20service%20of%20chain%20connect/cdn.cms-twdigitalassets.com/content/dam/legal-twitter/sharing-card.png.twimg.768.png	(from https://x.com/en/tos)
16:46:16	347974/347974	---M-Z	200	added ('OK')	text/css	date:Tue,%2018%20Jun%202024%2020:03:21%20GMT	https://cdn.cms-twdigitalassets.com/etc/designs/boilerplate-twitter/public/css/core.css.twhash.a.f.ad34c37de9518cc012edc53c88d262dd.css	C:/My%20Web%20Sites/terms%20and%20service%20of%20chain%20connect/cdn.cms-twdigitalassets.com/etc/designs/boilerplate-twitter/public/css/core.css.twhash.a.f.ad34c37de9518cc012edc53c88d262dd.css	(from https://x.com/en/tos)
16:46:17	50120/50120	---M-Z	200	added ('OK')	text/css	date:Thu,%2020%20Jun%202024%2022:03:20%20GMT	https://cdn.cms-twdigitalassets.com/etc/designs/boilerplate-twitter/public/css/legacy-colors.css.twhash.a.f.20fd26d638816cbce52d44904fc9c3c2.css	C:/My%20Web%20Sites/terms%20and%20service%20of%20chain%20connect/cdn.cms-twdigitalassets.com/etc/designs/boilerplate-twitter/public/css/legacy-colors.css.twhash.a.f.20fd26d638816cbce52d44904fc9c3c2.css	(from https://x.com/en/tos)
16:46:19	457688/457688	---M-Z	200	added ('OK')	text/css	date:Thu,%2004%20Jul%202024%2018:06:54%20GMT	https://cdn.cms-twdigitalassets.com/etc/designs/boilerplate-twitter/public/css/project.css.twhash.a.f.c343accb4f424aafdde4bcf2a2ab91f1.css	C:/My%20Web%20Sites/terms%20and%20service%20of%20chain%20connect/cdn.cms-twdigitalassets.com/etc/designs/boilerplate-twitter/public/css/project.css.twhash.a.f.c343accb4f424aafdde4bcf2a2ab91f1.css	(from https://x.com/en/tos)
16:46:19	6467/6467	---M-Z	200	added ('OK')	text/css	date:Wed,%2019%20Jun%202024%2023:06:02%20GMT	https://cdn.cms-twdigitalassets.com/etc/designs/boilerplate-twitter/public/css/print.css.twhash.a.f.67de1c964d9398cbf614aab841910ad6.css	C:/My%20Web%20Sites/terms%20and%20service%20of%20chain%20connect/cdn.cms-twdigitalassets.com/etc/designs/boilerplate-twitter/public/css/print.css.twhash.a.f.67de1c964d9398cbf614aab841910ad6.css	(from https://x.com/en/tos)
16:46:20	516/516	---M-Z	200	added ('OK')	text/css	date:Sun,%2023%20Jun%202024%2003:08:22%20GMT	https://cdn.cms-twdigitalassets.com/etc/designs/boilerplate-twitter/public/css/languages.css.twhash.a.f.ad7062672948db2fe784ee48cbba355a.css	C:/My%20Web%20Sites/terms%20and%20service%20of%20chain%20connect/cdn.cms-twdigitalassets.com/etc/designs/boilerplate-twitter/public/css/languages.css.twhash.a.f.ad7062672948db2fe784ee48cbba355a.css	(from https://x.com/en/tos)
16:46:23	93065/93065	---M-Z	200	added ('OK')	application/javascript	etag:%22824beb891744db98ccbd3a456e59e0f7+gzip%22	https://platform.twitter.com/widgets.js	C:/My%20Web%20Sites/terms%20and%20service%20of%20chain%20connect/platform.twitter.com/widgets.js	(from https://x.com/en/tos)
16:46:24	136087/136087	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2015%20Jun%202024%2002:54:13%20GMT	https://cdn.cms-twdigitalassets.com/etc/designs/boilerplate-twitter/public/js/core.js.twhash.a.f.40db42bdb168e1164ca7b468d2a908d6.js	C:/My%20Web%20Sites/terms%20and%20service%20of%20chain%20connect/cdn.cms-twdigitalassets.com/etc/designs/boilerplate-twitter/public/js/core.js.twhash.a.f.40db42bdb168e1164ca7b468d2a908d6.js	(from https://x.com/en/tos)
